,calidad_juridica,calle,colonia,delito,edad,fecha_de_hechos,geo_x,geo_y,hora_de_hechos,llave_carpeta_de_investigación,llave_persona,municipio,sexo,stringasfactors,longitud,latitud,label
11,VICTIMA,LAGO ESQUINA CALZADA DE TLALPAN,NATIVITAS,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),NA,2018-01-10,479900.77284732,2143376.1816787,14:03,4137225,8719459,BENITO JUAREZ,Masculino,FALSE,-99.1914103030285,19.384433322348,pgj
12,VICTIMA,VILLALONGIN,CUAUHTÉMOC,LESIONES CULPOSAS POR TRANSITO VEHICULAR,NA,2018-01-01,486460.32925859,2154173.7232024,10:00,4137232,8719493,CUAUHTEMOC,Femenino,FALSE,-99.1290190815925,19.4820682577671,pgj
13,VICTIMA,AVENIDA COYOACAN ESQUINA CON CALLE SAN LORENZO,DEL VALLE CENTRO,LESIONES CULPOSAS POR TRANSITO VEHICULAR,42,2018-01-15,485926.03621464,2154680.1354029,19:00,4137234,8719495,BENITO JUAREZ,Masculino,FALSE,-99.1341140999999,19.4866410998335,pgj
14,VICTIMA,CAMINO REAL A SAN LORENZO 283 PRIMER PISO VIVIENDA 1A,AMPLIACION SAN MIGUEL 8VA.,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,54,2018-01-16,498210.35525459,2142227.2992125,23:30,4137258,8719799,IZTAPALAPA,Masculino,FALSE,-99.0170422196388,19.3741504182527,pgj
15,VICTIMA,INGENIERO ROBERTO GAYOL,GUADALUPE TEPEYAC,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,28,2018-01-16,483036.36705446,2146627.8693868,23:00,4137311,8719804,GUSTAVO A MADERO,Femenino,FALSE,-99.1615783050622,19.4138486288532,pgj
16,LESIONADO,INGENIERO ROBERTO GAYOL,GUADALUPE TEPEYAC,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,28,2018-01-16,483036.36705446,2146627.8693868,23:00,4137311,8720248,GUSTAVO A MADERO,Femenino,FALSE,-99.1615783050622,19.4138486288532,pgj
17,VICTIMA Y DENUNCIANTE,AVENIDA MORELOS CASI ESQUINA CON GUERRERO,SAN SALVADOR CUAUHTENCO,LESIONES CULPOSAS POR TRANSITO VEHICULAR,47,2018-01-17,487601.50364936,2151385.8424024,14:00,4137421,8720155,MILPA ALTA,Femenino,FALSE,-99.1181266307831,19.4568810299994,pgj
18,VICTIMA,CAMINO REAL A SAN FRANCISCO,SAN FRANCISCO TLALNEPANTLA,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-12,487910.21155011,2132871.3587997,19:00,4137507,8720454,XOCHIMILCO,NA,FALSE,-99.1150679066776,19.2895619748481,pgj
19,CADAVER,AQUILES SERDAN,TIERRA NUEVA,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),NA,2018-01-01,478745.98884157,2156126.6609622,06:45,8034072,13582822,AZCAPOTZALCO,Masculino,FALSE,-99.2025504508324,19.499649966982,pgj
20,CADAVER,NORTE 1-A 5118,MAXIMINO ÁVILA CAMACHO,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),42,2018-01-01,485703.30418195,2153936.401518,15:00,8034149,13583012,GUSTAVO A MADERO,Masculino,FALSE,-99.1362309409373,19.4799182560639,pgj
21,VICTIMA Y DENUNCIANTE,ALBAÑILES,MORELOS,LESIONES CULPOSAS POR TRANSITO VEHICULAR,20,2018-01-01,487578.07403217,2149316.8712652,15:20,8034166,13583051,VENUSTIANO CARRANZA,Femenino,FALSE,-99.1183363010392,19.4381831258944,pgj
22,NA,AV. RIO TIBER,CUAUHTÉMOC,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,NA,2018-01-01,482181.57449341,2148532.9582087,15:15,8034195,NA,CUAUHTEMOC,NA,FALSE,-99.1697380391004,19.4310579309465,pgj
23,NA,"AVENIDA 510,",SAN JUAN DE ARAGÓN,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-01,491133.49043383,2152263.7343264,12:55,8034213,NA,GUSTAVO A MADERO,NA,FALSE,-99.0844797803626,19.4648335321603,pgj
24,VICTIMA,ANDEN   B   DEL  PARADERO DE  AUTOBUSES   PANTITLAN,AMPLIACION ADOLFO LOPEZ MATEOS,LESIONES CULPOSAS POR TRANSITO VEHICULAR,32,2018-01-02,492350.44545249,2146804.6501844,07:10,8034328,13583484,VENUSTIANO CARRANZA,Femenino,FALSE,-99.072862669981,19.4155034852817,pgj
25,VICTIMA,CARRETERA MEXICO CUERNAVACA KM24 MAS 150,SAN MIGUEL XICALCO,LESIONES CULPOSAS POR TRANSITO VEHICULAR,NA,2018-01-02,483258.11494549,2127049.2969811,08:49,8034354,13583573,TLALPAN,Masculino,FALSE,-99.1592945879999,19.2369124588343,pgj
26,VICTIMA Y DENUNCIANTE,ALTAVISTA,SAN ANGEL,LESIONES CULPOSAS POR TRANSITO VEHICULAR,NA,2018-01-02,479636.82219944,2139413.7457989,11:50,8034463,13583831,ALVARO OBREGON,Masculino,FALSE,-99.1938816210551,19.3486210442533,pgj
27,LESIONADO,TOLEDO,JUÁREZ,LESIONES CULPOSAS POR TRANSITO VEHICULAR,27,2018-01-02,481916.42211324,2147658.3054775,13:48,8034512,13583930,CUAUHTEMOC,Femenino,FALSE,-99.1722555364564,19.4231511190743,pgj
28,VICTIMA,LATERAL DE AVENIDA RIO CHURUBUSCO ESQUINA CON CALLE CONTRALORES,EL SIFÓN,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,22,2018-01-02,488307.01831076,2141798.7980209,12:20,8034520,13583950,IZTAPALAPA,Masculino,FALSE,-99.111345851563,19.3702446578848,pgj
29,VICTIMA Y DENUNCIANTE,GUADALUPE I. RAMIREZ,BARRIO SAN ANTONIO,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,37,2018-01-02,488936.69161697,2130027.1630046,10:45,8034580,13584107,XOCHIMILCO,Masculino,FALSE,-99.1052816900112,19.263863736277,pgj
30,NA,AV. MARTIN CARRERA,MARTÍN CARRERA,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-02,488374.29622317,2154798.0737969,10:30,8034611,NA,GUSTAVO A MADERO,NA,FALSE,-99.1107848172854,19.4877227050149,pgj
31,VICTIMA Y DENUNCIANTE,PUERTO VALLARTA CON DIRECCION AL NORTE,LA POLVORILLA,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,50,2018-01-01,494994.98806266,2136255.1445805,06:15,8034625,13584203,IZTAPALAPA,Masculino,FALSE,-99.0476454693949,19.3201725753818,pgj
32,VICTIMA,EJE CENTRAL LAZARO CARDENAS,CENTRO,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A BIENES INMUEBLES,NA,2018-01-01,485190.18279246,2148772.9188392,00:30,8034844,13584732,CUAUHTEMOC,Masculino,FALSE,-99.1410800278599,19.4332510450573,pgj
33,VICTIMA Y DENUNCIANTE,CALZADA DE LAS AGUILAS,LAS AGUILAS 1A SECCIÓN,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,49,2018-01-02,477352.95693237,2140146.030245,20:30,8034940,13584917,ALVARO OBREGON,Masculino,FALSE,-99.2156353155461,19.3552144627258,pgj
34,VICTIMA Y DENUNCIANTE,ORIENTE 239  FRENTE AL NÚMERO,AGRÍCOLA ORIENTAL,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,44,2018-01-03,492008.83343798,2144183.1744052,02:30,8034966,13584995,IZTACALCO,Masculino,FALSE,-99.0761055330939,19.391811139363,pgj
35,NA,GUILLERMO PRIETO,LA GUADALUPE,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-03,498867.06036497,2130417.4771469,05:00,8034967,NA,TLAHUAC,NA,FALSE,-99.0107816234269,19.2674211598599,pgj
36,VICTIMA,BOLIVAR,ALGARIN,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-03,485063.40040724,2145873.1932089,11:20,8035080,13585295,CUAUHTEMOC,NA,FALSE,-99.1422649637277,19.4070445742608,pgj
37,LESIONADO,AVENIDA 29 DE OCTUBRE,LOMAS DE LA ERA,LESIONES CULPOSAS POR TRANSITO VEHICULAR,78,2018-01-03,472428.30365749,2136461.5281987,12:00,8035254,13585632,ALVARO OBREGON,Femenino,FALSE,-99.2624721741479,19.3218551195067,pgj
38,LESIONADO,AVENIDA 29 DE OCTUBRE,LOMAS DE LA ERA,LESIONES CULPOSAS POR TRANSITO VEHICULAR,71,2018-01-03,472428.30365749,2136461.5281987,12:00,8035254,13585633,ALVARO OBREGON,Femenino,FALSE,-99.2624721741479,19.3218551195067,pgj
39,FALLECIDO,AVENIDA SAN BERNABE,LOS PADRES,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),50,2018-01-03,474237.39599951,2136193.1282663,19:35,8035520,13586225,LA MAGDALENA CONTRERAS,Masculino,FALSE,-99.2452467987437,19.3194534805344,pgj
40,CADAVER,AVENIDA SAN BERNABE,LOS PADRES,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),41,2018-01-03,474237.39599951,2136193.1282663,19:35,8035520,13676131,LA MAGDALENA CONTRERAS,Masculino,FALSE,-99.2452467987437,19.3194534805344,pgj
41,CADAVER,AVENIDA SAN BERNABE,LOS PADRES,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),46,2018-01-03,474237.39599951,2136193.1282663,19:35,8035520,13676137,LA MAGDALENA CONTRERAS,Masculino,FALSE,-99.2452467987437,19.3194534805344,pgj
42,VICTIMA,CALLE ELIGIO ANCONA,SANTA MARIA LA RIBERA,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,NA,2018-01-03,482876.24861477,2151021.887807,19:45,8035593,13586399,CUAUHTEMOC,Masculino,FALSE,-99.1631430760134,19.4535569848397,pgj
43,LESIONADO,CALLE ELIGIO ANCONA,SANTA MARIA LA RIBERA,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,18,2018-01-03,482876.24861477,2151021.887807,19:45,8035593,13675383,CUAUHTEMOC,Masculino,FALSE,-99.1631430760134,19.4535569848397,pgj
44,VICTIMA Y DENUNCIANTE,AV. REVOLUCION,SAN ANGEL,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-03,480021.34919657,2139198.116069,15:30,8035620,13586454,ALVARO OBREGON,Femenino,FALSE,-99.1902182246711,19.3466761942501,pgj
45,VICTIMA,ANILLO PERIFERICO,LOMAS DE SAN ÁNGEL INN,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-03,478713.68845847,2138951.7314794,23:45,8035644,13586494,ALVARO OBREGON,NA,FALSE,-99.2026657552544,19.3444361224675,pgj
46,VICTIMA,AVENIDA SAN JERONIMO,JARDINES DEL PEDREGAL,LESIONES CULPOSAS POR TRANSITO VEHICULAR,NA,2018-01-03,477915.0818101,2137248.3003079,15:20,8035677,13586595,ALVARO OBREGON,Femenino,FALSE,-99.2102494999999,19.3290330998341,pgj
47,CADAVER,AVENIDA SAN JERONIMO,JARDINES DEL PEDREGAL,LESIONES CULPOSAS POR TRANSITO VEHICULAR,86,2018-01-03,477915.0818101,2137248.3003079,15:20,8035677,13675323,ALVARO OBREGON,Femenino,FALSE,-99.2102494999999,19.3290330998341,pgj
48,VICTIMA,PLAYA ENCANTADA,MILITAR MARTE,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,NA,2018-01-04,487112.0624554,2142648.9439628,03:15,8035683,13586617,IZTACALCO,NA,FALSE,-99.1227304948629,19.3779203628791,pgj
49,VICTIMA Y DENUNCIANTE,MEDELLIN,ROMA NORTE,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,42,2018-01-04,482713.56857724,2146446.4346097,06:25,8035804,13586950,CUAUHTEMOC,Masculino,FALSE,-99.1646512948625,19.4122061984343,pgj
50,VICTIMA Y DENUNCIANTE,PRADO NORTE,LOMAS DE CHAPULTEPEC I SECCIÓN,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,59,2018-01-04,477778.28847306,2148120.3707782,09:25,8035805,13586953,MIGUEL HIDALGO,Masculino,FALSE,-99.2116786499948,19.42728523159,pgj
51,FALLECIDO,AUTOPISTA MEXICO CUERNAVACA KILOMETRO 42,SAN PEDRO MÁRTIR,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),0,2018-01-04,482653.15780441,2130317.7556455,13:00,8035925,13587198,TLALPAN,Femenino,FALSE,-99.1650801200388,19.2664457325012,pgj
52,LESIONADO,AUTOPISTA MEXICO CUERNAVACA KILOMETRO 42,SAN PEDRO MÁRTIR,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),0,2018-01-04,482653.15780441,2130317.7556455,13:00,8035925,13587199,TLALPAN,Femenino,FALSE,-99.1650801200388,19.2664457325012,pgj
53,VICTIMA Y DENUNCIANTE,AVENIDA RIO CONSULADO,ATLAMPA,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,46,2018-01-04,483186.90318102,2151954.0709004,11:10,8036040,13587434,CUAUHTEMOC,Masculino,FALSE,-99.1601916575759,19.4619839472149,pgj
54,VICTIMA Y DENUNCIANTE,CARRETERA FEDERAL A CUERNAVACA KILOMETRO 21 DE  SUR A NORTE,SAN ANDRÉS TOTOLTEPEC,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,62,2018-01-02,481444.86943226,2128807.6813877,13:00,8036047,13587442,TLALPAN,Masculino,FALSE,-99.1765640729999,19.2527878628339,pgj
55,LESIONADO,MEDELLIN,ROMA SUR,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,47,2018-01-04,482923.12099265,2145524.7465424,13:30,8036048,13587445,CUAUHTEMOC,Masculino,FALSE,-99.1626470568177,19.4038784730981,pgj
56,LESIONADO,FRANCISCO J. CLAVIJERO,TRANSITO,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,47,2018-01-04,486343.6095979,2146987.0774297,12:20,8036112,13587564,CUAUHTEMOC,Masculino,FALSE,-99.1300795279154,19.4171201681681,pgj
57,VICTIMA Y DENUNCIANTE,CALZADA DE TLALPAN,ÁLAMOS,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,23,2018-01-04,485574.20461677,2144980.4719759,13:40,8036136,13587609,BENITO JUAREZ,Masculino,FALSE,-99.1373930008801,19.3989805612424,pgj
58,VICTIMA Y DENUNCIANTE,TAMAULIPAS,CUAJIMALPA,LESIONES CULPOSAS POR TRANSITO VEHICULAR,40,2018-01-01,468682.23385033,2140207.2678469,18:34,8036319,13587963,CUAJIMALPA DE MORELOS,Masculino,FALSE,-99.2981944672999,19.3556514291729,pgj
59,VICTIMA,REVOLUCION,AEROPUERTO INTERNACIONAL BENITO JUÁREZ,LESIONES CULPOSAS POR TRANSITO VEHICULAR,81,2018-01-04,493070.53833995,2148370.6259191,18:20,8036330,13587983,VENUSTIANO CARRANZA,Masculino,FALSE,-99.066009440803,19.4296582422902,pgj
60,NA,CANAL DE RIO CHURUBUSCO,CENTRAL DE ABASTO,LESIONES CULPOSAS POR TRANSITO VEHICULAR,NA,2018-01-04,490537.11404642,2141940.7639779,20:30,8036353,NA,IZTAPALAPA,NA,FALSE,-99.0901105999999,19.3715393998334,pgj
61,FALLECIDO,AVENIDA RIO MISSISIPPI,ANZURES,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),11,2018-01-04,481731.14689721,2148373.8851251,19:50,8036368,13588055,MIGUEL HIDALGO,Masculino,FALSE,-99.1740272596068,19.4296162900327,pgj
62,CADAVER,AVENIDA RIO MISSISIPPI,ANZURES,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),11,2018-01-04,481731.14689721,2148373.8851251,19:50,8036368,13675514,MIGUEL HIDALGO,Masculino,FALSE,-99.1740272596068,19.4296162900327,pgj
63,VICTIMA,PASEO DE LA REFORMA,JUÁREZ,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,30,2018-01-04,483051.93489526,2148358.9085938,21:30,8036416,13588150,CUAUHTEMOC,Masculino,FALSE,-99.1614454706925,19.4294925678446,pgj
64,VICTIMA Y DENUNCIANTE,LORENZO BOTURINI ESQUINA CON CLAVIJERO,ESPERANZA,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,32,2018-01-04,486349.7455753,2147038.9279447,09:55,8036426,13588175,CUAUHTEMOC,Masculino,FALSE,-99.1300214543581,19.4175887961519,pgj
65,VICTIMA,CALZADA DE TLALPAN LUIS MURILLO,BOSQUES DE TETLAMEYA,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,NA,2018-01-04,484176.53934354,2133912.4585419,23:14,8036491,13588326,COYOACAN,Masculino,FALSE,-99.1506126911281,19.2989449310804,pgj
66,VICTIMA Y DENUNCIANTE,EJE 1 NORTE MOSQUETA,BUENAVISTA,LESIONES CULPOSAS POR TRANSITO VEHICULAR,66,2018-01-05,484183.41275337,2150172.3324135,05:25,8036492,13588334,CUAUHTEMOC,Masculino,FALSE,-99.1506822796705,19.44589014816,pgj
67,CADAVER,VIADUCTO MIGUEL ALEMAN,ROMA SUR,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),0,2018-01-05,483665.24358485,2145553.9333369,06:30,8036495,13588340,CUAUHTEMOC,Masculino,FALSE,-99.1555790536788,19.4041484292785,pgj
68,VICTIMA Y DENUNCIANTE,MANUEL ACUÑA,CENTRO DE AZCAPOTZALCO,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,NA,2018-01-05,480175.39363985,2153851.7269392,01:30,8036498,13588349,AZCAPOTZALCO,Masculino,FALSE,-99.1889044509397,19.4791057694781,pgj
69,VICTIMA Y DENUNCIANTE,EJE UNO NORTE,BUENAVISTA,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,NA,2018-01-05,484274.2431314,2150155.8411638,08:40,8036564,13588531,CUAUHTEMOC,Femenino,FALSE,-99.1498168175801,19.4457418298098,pgj
70,VICTIMA,RIO DANUBIO,CUAUHTÉMOC,LESIONES CULPOSAS POR TRANSITO VEHICULAR,NA,2018-01-05,482380.20716133,2148471.2863039,09:35,8036585,13588564,CUAUHTEMOC,Femenino,FALSE,-99.1678453010022,19.430502347493,pgj
71,VICTIMA Y DENUNCIANTE,XOLOTL ESQUINA CON TLALOC,TLAXPANA,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,30,2018-01-05,482384.18788725,2149895.1278199,09:00,8036651,13588693,MIGUEL HIDALGO,Femenino,FALSE,-99.1678206010444,19.4433699464108,pgj
72,LESIONADO,REVILLAGIGEDO,CENTRO,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,NA,2018-01-05,484696.20108982,2148955.1155702,10:00,8036688,13588761,CUAUHTEMOC,Masculino,FALSE,-99.1457872127985,19.4348938803622,pgj
73,VICTIMA Y DENUNCIANTE,COFRE DE PEROTE,LA PRADERA,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,64,2018-01-01,493076.97479107,2153353.7704982,04:00,8036721,13588823,GUSTAVO A MADERO,Masculino,FALSE,-99.0659663281243,19.4746921089701,pgj
74,VICTIMA Y DENUNCIANTE,VIADUCTO TLALPAN  Y  MELCHOR OCAMPO,CHIMALCOYOTL,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,36,2018-01-05,482388.63550708,2131291.1586215,16:30,8036921,13589331,TLALPAN,Masculino,FALSE,-99.1676063649224,19.2752404561363,pgj
75,VICTIMA,SAN FERNANDO,TLALPAN CENTRO I,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,53,2018-01-05,481483.64508461,2133477.2429145,18:20,8037101,13589710,TLALPAN,Femenino,FALSE,-99.1762402139269,19.2949887924444,pgj
76,VICTIMA Y DENUNCIANTE,PENNSYLVANIA,AMPLIACIÓN NAPOLES,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,22,2018-01-05,481379.81478639,2143693.0350468,17:50,8037113,13589734,BENITO JUAREZ,Femenino,FALSE,-99.1773281440388,19.3873110850417,pgj
77,CADAVER,AVENIDA ERMITA IZTAPALAPA,SANTA CRUZ MEYEHUALCO,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),25,2018-01-06,496208.23797251,2138842.1658233,03:40,8037196,13589977,IZTAPALAPA,Masculino,FALSE,-99.0361010130515,19.3435550630339,pgj
78,VICTIMA,AV.  CHAPULTEPEC,ROMA NORTE,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,NA,2018-01-06,483249.42510422,2147797.1569671,07:00,8037238,13590115,CUAUHTEMOC,Masculino,FALSE,-99.1595592488352,19.4244175523157,pgj
79,VICTIMA,AV.  CHAPULTEPEC,ROMA NORTE,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,NA,2018-01-06,483249.42510422,2147797.1569671,07:00,8037238,13590116,CUAUHTEMOC,Masculino,FALSE,-99.1595592488352,19.4244175523157,pgj
80,VICTIMA,AV.  CHAPULTEPEC,ROMA NORTE,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,NA,2018-01-06,483249.42510422,2147797.1569671,07:00,8037238,13590117,CUAUHTEMOC,Masculino,FALSE,-99.1595592488352,19.4244175523157,pgj
81,VICTIMA Y DENUNCIANTE,608,SAN JUAN DE ARAGÓN IV SECCIÓN,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,30,2018-01-06,491939.061348,2150905.6222376,05:30,8037244,13590146,GUSTAVO A MADERO,Masculino,FALSE,-99.0767985574235,19.4525633813713,pgj
82,VICTIMA Y DENUNCIANTE,MONTIEL,TEPEYAC INSURGENTES,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,60,2018-01-01,487263.85138903,2154477.9883636,14:30,8037329,13590310,GUSTAVO A MADERO,Masculino,FALSE,-99.1213644069323,19.4848232510969,pgj
83,VICTIMA Y DENUNCIANTE,ARNESES,MINERVA,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,34,2018-01-04,488390.37782203,2139846.3222117,22:00,8037404,13590451,IZTAPALAPA,Masculino,FALSE,-99.1105401739075,19.3526000058744,pgj
84,VICTIMA,AV. INSURGENTES SUR,ROMA SUR,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,38,2018-01-06,482290.20809372,2145673.0509164,15:30,8037483,13590589,CUAUHTEMOC,Masculino,FALSE,-99.1686765360376,19.4052132422407,pgj
85,LESIONADO,AV. INSURGENTES SUR,ROMA SUR,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,25,2018-01-06,482290.20809372,2145673.0509164,15:30,8037483,13677736,CUAUHTEMOC,Femenino,FALSE,-99.1686765360376,19.4052132422407,pgj
