"id_global","id_PGJ","id_SSC","id_C5","fecha_incidente","hora_incidente","calle","colonia","alcaldia","lat","lon","delito_pgj","categoria_delito_pgj","fiscalia","agencia","unidad_investigacion","no_folio_ssc","tipo_evento_ssc","tipo_interseccion","zona_ssc","cuadrante_ssc","sector_ssc","reporte_ssc","tipo_vehiculo_1","tipo_vehiculo_2","tipo_vehiculo_3","tipo_vehiculo_4","marca_vehiculo_1","marca_vehiculo_2","marca_vehiculo_3","marca_vehiculo_4","ruta_transporte_publico","matricula_1","matricula_2","matricula_3","matricula_4","condicion","lesiones","edad_occiso","edad_lesionado","total_occisos","total_lesionados","identidad","unidad_medica_de_apoyo","matricula_unidad_medica","lugar_del_deceso","trasladados_lesionado","hospital","observaciones_ssc","codigo_cierre_c5","incidente_c4","clas_con_f_alarma_c5","tipo_entrada_c5"
11,16663,127,"C5/180105/00891","05/01/2018","06:04:08","VIADUCTO MIGUEL ALEMAN","ROMA SUR","CUAUHTEMOC",19.404148426234,-99.1555790535316,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN BENITO JUÁREZ","BJ-3","UI-2SD","316753","ATROPELLADO","CRUZ",4,"S-1.1.1","NARVARTE ALAMOS","NARVARTE ALAMOS","SD",NA,NA,NA,"SD",NA,NA,NA,NA,"SD",NA,NA,NA,"OCCISO","POLITRAUMATIZADO CON APLASTAMIENTO DE CRANEO","45",NA,1,0,"PEATON","ERUM/CCO","MX005G2","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-atropellado","EMERGENCIA","LLAMADA DEL 911"
12,16680,156,"C5/180106/01082","06/01/2018","03:38:03","AVENIDA ERMITA IZTAPALAPA","SANTA CRUZ MEYEHUALCO","IZTAPALAPA",19.3435550646308,-99.0361010127901,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-6","UI-3SD","318025","ATROPELLADO","CRUZ",3,"O-2.2.3","QUETZAL","QUETZAL","AUTOMOVIL",NA,NA,NA,"SD",NA,NA,NA,NA,"SD",NA,NA,NA,"OCCISO","ETIOLOGIA A DETERMINAR","28",NA,1,0,"PEATON","CCO","24","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-atropellado","EMERGENCIA","LLAMADA DEL 911"
13,16798,409,"C5/180112/08509","12/01/2018","22:55:23","AVENIDA CUAUHTEMOC","LETRÁN VALLE","BENITO JUAREZ",19.37943625763,-99.1591890767466,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN BENITO JUÁREZ","BJ-3","UI-1SD","SD","CHOQUE","RAMAS MULTIPLES",4,"4","PORTALES","PORTALES","BICICLETA","MOTOCICLETA","AUTOMOVIL",NA,"SD","BMW","SD",NA,NA,NA,"1S7UN","SD",NA,"OCCISO","POLITRAUMATIZADO  ","35","30",1,1,"CICLISTA","CCO","9","EN EL LUGAR DE LOS HECHOS",1,"SD",NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-atropellado","EMERGENCIA","LLAMADA DEL 911"
14,16802,430,"C5/180113/01389","13/01/2018","04:30:23","CALZADA IGNACIO ZARAGOZA","EL PARAÍSO","IZTAPALAPA",19.3814129082434,-99.0298264518989,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-6","UI-1CD","327616","CHOQUE","T",3,"O-2.1.12","OASIS","OASIS","AUTOMOVIL","SD",NA,NA,"CHEVROLET","SD",NA,NA,NA,"L87AHZ","SD",NA,NA,"OCCISO","OCCISO","25","25 25",1,2,"PASAJERO","CCO","MX806R1 MA050G2 0154","EN EL LUGAR DE LOS HECHOS",2,"SD",NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
15,16838,513,"C5/180115/00455","15/01/2018","02:26:00","16 DE SEPTIEMBRE","PASTEROS","AZCAPOTZALCO",19.495615766978,-99.1925188089526,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN AZCAPOTZALCO","AZ-2","UI-3CD","SD","CHOQUE","CRUZ",5,"P-2.3.6","HORMIGA","HORMIGA","AUTOMOVIL","TAXI",NA,NA,"MAZDA","NISSAN",NA,NA,NA,"A3157C","SD",NA,NA,"OCCISO","TCE HX PROFUNDA ABDOMEN FX DE CADERA FX DE FEMUR OCCISO","35","64 34",1,2,"PASAJERO","CCO","19 24","EN EL LUGAR DE LOS HECHOS",2,"SD",NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
16,16942,662,"C5/180120/01083","20/01/2018","02:58:38","EJE 4 SUR","MODERNA","BENITO JUAREZ",19.3935836958087,-99.1356161275132,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN BENITO JUÁREZ","BJ-5","UI-2SD","335173","ATROPELLADO","CRUZ",4,"S-1.4.2","NATIVITAS","NATIVITAS","AUTOMOVIL",NA,NA,NA,"SD",NA,NA,NA,NA,"SD",NA,NA,NA,"OCCISO","SD","60",NA,1,0,"PEATON","CCO","54","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-atropellado","EMERGENCIA","LLAMADA DEL 911"
17,16982,743,"C5/180122/00501","22/01/2018","01:51:28","PERIFERICO","CONSTITUCIÓN DE 1917","IZTAPALAPA",19.3449585192539,-99.0612408440663,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-4","UI-1SD","339782","ATROPELLADO","RAMAS MULTIPLES",3,"O-1.2.9","ABASTO REFORMA","ABASTO REFORMA","AUTOMOVIL",NA,NA,NA,"SD",NA,NA,NA,NA,"SD",NA,NA,NA,"OCCISO","OCCISO","30",NA,1,0,"PEATON","CCO","7","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-atropellado","EMERGENCIA","LLAMADA DEL 911"
18,17017,791,"C5/180123/05207","23/01/2018","15:52:17","FRANCISCO MORAZAN","VILLA DE ARAGÓN","GUSTAVO A MADERO",19.4645138907093,-99.0585225652705,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN GUSTAVO A. MADERO","GAM-2","UI-3CD","341897","CHOQUE","T",1,"N-2.3.11","PRADERA","PRADERA","BICICLETA","AUTOBUS DE PASAJEROS",NA,NA,"BENOTTO","DINA",NA,NA,"14","SD","SD",NA,NA,"OCCISO","OCCISO","65",NA,1,0,"CICLISTA","ERUM/CCO","MX026G2 ","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-atropellado","EMERGENCIA","LLAMADA DEL 911"
19,17111,953,"C5/180128/01040","28/01/2018","02:54:58","NICOLAS BRAVO","PALMATITLA","GUSTAVO A MADERO",19.5501832345943,-99.1367344879445,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN GUSTAVO A. MADERO","GAM-1","UI-1SD","348091","CHOQUE","T",1,"N-1.1.2","CUAUTEPEC","CUAUTEPEC","AUTOMOVIL","SD",NA,NA,"JETTA","SD",NA,NA,NA,"B29848","SD",NA,NA,"OCCISO","OCCISO POR TCE","SD",NA,1,0,"MOTOCICLISTA","CCO","MX 034 G2","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
20,17291,1201,"C5/180204/09067","04/02/2018","21:59:06","AVENIDA TAXQUEÑA","SAN FRANCISCO CULHUACAN","COYOACAN",19.3393133894309,-99.1163491936043,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN COYOACÁN","COY-3","UI-3CD","358608","CHOQUE","T",4,"S-2.3.12","TAXQUEÑA","TAXQUEÑA","AUTOMOVIL","CAMION DE CARGA",NA,NA,"NISSAN","SD",NA,NA,NA,"A54903","955DG2",NA,NA,"OCCISO","OCCISO","20",NA,1,0,"CONDUCTOR","ERUM/CCO","MX026G2","EN EL LUGAR DE LOS HECHOS",0,NA,"SD","(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
21,17330,1271,"C5/180206/06176","06/02/2018","18:08:57","AV. INSURGENTES SUR","INSURGENTES CUICUILCO","COYOACAN",19.3040123685003,-99.1862622414868,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN COYOACÁN","COY-1","UI-2CD","360950","CHOQUE","RECTA",4,"S-2.4.11","UNIVERSIDAD","UNIVERSIDAD","METROBUS","AUTOMOVIL","BICICLETA",NA,"SD","SD","SD",NA,"LINEA 1","253","K05ANL","SD",NA,"OCCISO","OCCISO","25",NA,1,0,"CICLISTA","ERUM/CCO","MX055G2","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-atropellado","EMERGENCIA","LLAMADA DEL 911"
22,17391,1357,"C5/180209/08469","09/02/2018","22:13:10","CHILPANCINGO","ROMA SUR","CUAUHTEMOC",19.4036728390576,-99.1691956252825,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAUHTEMOC","CUH-2","UI-2CD","365695","CHOQUE","Y",2,"C-24.13","ROMA","ROMA","AUTOMOVIL","AUTOBUS DE PASAJEROS",NA,NA,"CHEVROLET SPARK","VOLVO",NA,NA,"C1","MGX5443","120185",NA,NA,"OCCISO","OCCISO","30","28 SD",1,2,"PASAJERO","CCO","02 03 01","EN EL LUGAR DE LOS HECHOS",2,"SD",NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
23,17397,1379,"C5/180210/00745","10/02/2018","01:57:58","HERRERIA","SAN ANDRÉS TOTOLTEPEC","TLALPAN",19.2572876992564,-99.1667406998781,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN TLALPAN","TLP-4","UI-2CD","365926","CHOQUE","T",4,"S-3.4.13","TOPILEJO","TOPILEJO","AUTOMOVIL","SD",NA,NA,"DUSTER","SD",NA,NA,NA,"W40ARD","SD",NA,NA,"OCCISO","OCCISO POR TCE SEVERO","19","20 31",1,2,"PASAJERO","ERUM/CCO","MX055G2","EN EL LUGAR DE LOS HECHOS",1,"SD",NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
24,17399,1380,"C5/180210/01084","10/02/2018","03:02:41","CALZADA DE TLALPAN","IZTACCIHUATL","BENITO JUAREZ",19.3899094718931,-99.1354707385399,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN BENITO JUÁREZ","BJ-2","UI-2CD","365971","CHOQUE","T",4,"S-1.4.3","NATIVITAS","NATIVITAS","AUTOMOVIL","SD",NA,NA,"SEAT IBIZA","SD",NA,NA,NA,"L31AHB","SD",NA,NA,"OCCISO","DECESO POR ETIOLOGIA A DETERMINAR","SD","SD",1,1,"CONDUCTOR","CCO","MX118S2 09","EN EL LUGAR DE LOS HECHOS",1,"SD",NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
25,17422,1398,"C5/180210/09623","10/02/2018","23:28:35","CALZADA IGNACIO ZARAGOZA","AREA FEDERAL PARQUE ECOLOGICO EL SALADO","IZTAPALAPA",19.3660040372139,-99.0061476092185,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-6","UI-3CD","377076","CHOQUE","T",3,"O-2.1.23","OASIS","OASIS","AUTOMOVIL","AUTOBUS DE PASAJEROS",NA,NA,"VERSA","SD",NA,NA,"SD","MKN8416 ","752JV5",NA,NA,"OCCISO","OCCISO","49",NA,1,0,"CONDUCTOR","CCO","6","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
26,17494,1533,"C5/180215/00050","15/02/2018","00:08:30","TACUBA","CENTRO","CUAUHTEMOC",19.4354318896856,-99.1359827021742,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAUHTEMOC","CUH-2","UI-1CD","372498","ATROPELLADO","CRUZ",2,"SD","CENTRO","CENTRO","CAMION DE CARGA",NA,NA,NA,"DINA",NA,NA,NA,NA,"136AJ3",NA,NA,NA,"OCCISO","OCCISO","35",NA,1,0,"PEATON","CCO","3887","EN EL LUGAR DE LOS HECHOS",0,NA,"SD","(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-atropellado","EMERGENCIA","RADIO"
27,17579,1664,"C5/180218/01706","18/02/2018","04:06:21","AVENIDA DELFIN MADRIGAL","PEDREGAL DE SANTO DOMINGO","COYOACAN",19.324596853078,-99.1736300030363,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN COYOACÁN","COY-1","UI-1CD","SD","CHOQUE","Y",4,"S-2.4.9","UNIVERSIDAD","UNIVERSIDAD","AUTOMOVIL","SD",NA,NA,"JETTA","SD",NA,NA,NA,"A23ALN","SD",NA,NA,"OCCISO","OCCISO","33",NA,1,0,"CONDUCTOR","CCO","1","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","RADIO"
28,17618,1724,"C5/180220/07631","20/02/2018","20:09:41","LEONARDO DAVINCI","PALMITAS","IZTAPALAPA",19.3371842126437,-99.0246548625218,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-6","UI-1CD","380449","ATROPELLADO","CRUZ",3,"O-2.2.5","QUETZAL","QUETZAL","AUTOMOVIL",NA,NA,NA,"BMW",NA,NA,NA,NA,"140220",NA,NA,NA,"OCCISO","OCCISO","75",NA,1,0,"PEATON","ERUM/CCO","33","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-atropellado","EMERGENCIA","LLAMADA DEL 911"
29,17692,1851,"C5/180224/00865","24/02/2018","01:54:28","CALZADA  ERMITA  IZTAPALAPA","SANTA CRUZ MEYEHUALCO","IZTAPALAPA",19.3432038066831,-99.0432557827042,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-5","UI-1SD","SD","CHOQUE","T",3,"SD","SANTA CRUZ","SANTA CRUZ","AUTOMOVIL","SD",NA,NA,"PLATINA","SD",NA,NA,NA,"274UFM","SD",NA,NA,"OCCISO","TCE SEVERO","17",NA,1,0,"CONDUCTOR","CCO","SD","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
30,17723,1894,"C5/180225/02232","25/02/2018","06:49:56","CALZADA  IGACIO ZARAGOZA","EL PARAÍSO","IZTAPALAPA",19.3798526427277,-99.0271185656237,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-6","UI-3SD","386535","CHOQUE","T",3,"O-2.1.15 ","OASIS","OASIS","AUTOMOVIL","SD",NA,NA,"SEAT","SD",NA,NA,NA,"NAW7236 ","SD",NA,NA,"OCCISO","OCCISO POR ETIOLOGIA A DESCARTAR","40",NA,1,0,"CONDUCTOR","ERUM/CCO","50","EN EL LUGAR DE LOS HECHOS",0,NA,NA,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada","cadáver-accidente automovilístico","EMERGENCIA","LLAMADA DEL 911"
